Class,Edge_Coverage_%,Mean_Intensity
Apple___Apple_scab,1.8845,255.0
Apple___Black_rot,13.5513,255.0
Apple___Cedar_apple_rust,1.5213,255.0
Apple___healthy,3.2013,255.0
Blueberry___healthy,2.4216,255.0
Cherry_(including_sour)___Powdery_mildew,3.2059,255.0
Cherry_(including_sour)___healthy,2.1347,255.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,6.781,255.0
Corn_(maize)___Common_rust_,3.2104,255.0
Corn_(maize)___Northern_Leaf_Blight,10.0433,255.0
Corn_(maize)___healthy,1.8097,255.0
Grape___Black_rot,5.5344,255.0
Grape___Esca_(Black_Measles),11.0184,255.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),13.4277,255.0
Grape___healthy,7.0908,255.0
Orange___Haunglongbing_(Citrus_greening),2.5986,255.0
Peach___Bacterial_spot,2.1286,255.0
Peach___healthy,3.6163,255.0
"Pepper,_bell___Bacterial_spot",8.0429,255.0
"Pepper,_bell___healthy",3.064,255.0
Potato___Early_blight,10.4935,255.0
Potato___Late_blight,8.0826,255.0
Potato___healthy,16.8869,255.0
Raspberry___healthy,6.7078,255.0
Soybean___healthy,9.201,255.0
Squash___Powdery_mildew,9.6603,255.0
Strawberry___Leaf_scorch,10.5896,255.0
Strawberry___healthy,4.5959,255.0
Tomato___Bacterial_spot,4.7012,255.0
Tomato___Early_blight,2.8488,255.0
Tomato___Late_blight,3.9902,255.0
Tomato___Leaf_Mold,2.8381,255.0
Tomato___Septoria_leaf_spot,9.433,255.0
Tomato___Spider_mites Two-spotted_spider_mite,6.7291,255.0
Tomato___Target_Spot,9.3079,255.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,5.6732,255.0
Tomato___Tomato_mosaic_virus,8.7601,255.0
Tomato___healthy,18.8934,255.0
