Class_Name,Method,Original_Dim,Target_Dim,PSNR_dB,SSIM,Time_ms,Memory_KB
Raspberry___healthy,INTER_LINEAR,256x256,224x224,20.374,0.834,0.2993,147.0
Raspberry___healthy,INTER_AREA,256x256,224x224,20.4478,0.8378,1.7281,147.0
Raspberry___healthy,INTER_NEAREST,256x256,224x224,14.1986,0.5348,0.1341,147.0
Raspberry___healthy,INTER_CUBIC,256x256,224x224,22.5862,0.9161,70.1508,147.0
Blueberry___healthy,INTER_LINEAR,256x256,224x224,26.1685,0.797,0.1373,147.0
Blueberry___healthy,INTER_AREA,256x256,224x224,26.2373,0.8019,0.5809,147.0
Blueberry___healthy,INTER_NEAREST,256x256,224x224,19.1256,0.3126,0.1472,147.0
Blueberry___healthy,INTER_CUBIC,256x256,224x224,28.4659,0.9002,0.2584,147.0
Tomato___Target_Spot,INTER_LINEAR,256x256,224x224,25.9306,0.7771,0.1716,147.0
Tomato___Target_Spot,INTER_AREA,256x256,224x224,26.0028,0.7825,0.5319,147.0
Tomato___Target_Spot,INTER_NEAREST,256x256,224x224,19.2008,0.2857,0.1255,147.0
Tomato___Target_Spot,INTER_CUBIC,256x256,224x224,28.0653,0.8871,0.244,147.0
Corn_(maize)___Northern_Leaf_Blight,INTER_LINEAR,256x256,224x224,30.4493,0.8819,0.1397,147.0
Corn_(maize)___Northern_Leaf_Blight,INTER_AREA,256x256,224x224,30.5366,0.8852,0.4998,147.0
Corn_(maize)___Northern_Leaf_Blight,INTER_NEAREST,256x256,224x224,22.7529,0.4609,0.0986,147.0
Corn_(maize)___Northern_Leaf_Blight,INTER_CUBIC,256x256,224x224,33.1519,0.9462,0.2311,147.0
Grape___healthy,INTER_LINEAR,256x256,224x224,29.9859,0.8475,0.128,147.0
Grape___healthy,INTER_AREA,256x256,224x224,30.0528,0.8516,0.4455,147.0
Grape___healthy,INTER_NEAREST,256x256,224x224,22.367,0.4115,0.1105,147.0
Grape___healthy,INTER_CUBIC,256x256,224x224,32.6004,0.9297,0.2384,147.0
